"NombreMunicipio","CodigoMunicipio","Ubicacion","NombreRegion","CodigoRegion","Año","NumeroCasos","TasaXMilHabitantes"
"Ituango","05361","POINT (-75.764081 7.172568)","NORTE","5","2005","136","5.4"
"Jardín","05364","POINT (-75.819483 5.599097)","SUROESTE","8","2005","80","5.5"
"Jericó","05368","POINT (-75.786118 5.791557)","SUROESTE","8","2005","75","5.9"
"La Ceja","05376","POINT (-75.431681 6.030682)","ORIENTE","7","2005","258","5.6"
"La Estrella","05380","POINT (-75.643382 6.157644)","VALLE DE ABURRA","1","2005","241","4.6"
"La Pintada","05390","POINT (-75.606525 5.747143)","SUROESTE","8","2005","45","6.4"
"La Unión","05400","POINT (-75.361241 5.973832)","ORIENTE","7","2005","88","4.9"
"Liborina","05411","POINT (-75.811313 6.67786)","OCCIDENTE","6","2005","48","5.1"
"Maceo","05425","POINT (-74.673429 6.530691)","MAGDALENA MEDIO","3","2005","47","6.2"
"Marinilla","05440","POINT (-75.334772 6.173718)","ORIENTE","7","2005","200","4.4"
"Medellín","05001","POINT (-75.564739 6.253104)","VALLE DE ABURRA","1","2005","11099","5"
"Montebello","05467","POINT (-75.524621 5.945694)","SUROESTE","8","2005","69","9.2"
"Murindó","05475","POINT (-76.82131 6.981328)","URABA","9","2005","11","2.9"
"Mutatá","05480","POINT (-76.436928 7.245319)","URABA","9","2005","80","4.9"
"Nariño","05483","POINT (-75.176323 5.609727)","ORIENTE","7","2005","98","6.3"
"Nechí","05495","POINT (-74.775013 8.095003)","BAJO CAUCA","2","2005","70","3.4"
"Necoclí","05490","POINT (-76.786829 8.424299)","URABA","9","2005","85","1.8"
"Olaya","05501","POINT (-75.81238 6.628142)","OCCIDENTE","6","2005","11","3.8"
"Peque","05543","POINT (-75.908927 7.021696)","OCCIDENTE","6","2005","34","3.5"
"Pueblorrico","05576","POINT (-75.841914 5.790844)","SUROESTE","8","2005","41","4.9"
"Puerto Berrío","05579","POINT (-74.402022 6.490753)","MAGDALENA MEDIO","3","2005","314","8.1"
"Puerto Nare","05585","POINT (-74.581675 6.187952)","MAGDALENA MEDIO","3","2005","72","4.3"
"Puerto Triunfo","05591","POINT (-74.640079 5.87335)","MAGDALENA MEDIO","3","2005","68","4.2"
"Remedios","05604","POINT (-74.69368 7.02808)","NORDESTE","4","2005","113","5"
"Rionegro","05615","POINT (-75.373872 6.153548)","ORIENTE","7","2005","416","4.1"
"Sabanalarga","05628","POINT (-75.818245 6.850482)","OCCIDENTE","6","2005","43","5.2"
"Sabaneta","05631","POINT (-75.615491 6.15156)","VALLE DE ABURRA","1","2005","201","4.5"
"Salgar","05642","POINT (-75.979184 5.963438)","SUROESTE","8","2005","102","5.6"
"San Andrés de Cuerquia","05647","POINT (-75.67649 6.914739)","NORTE","5","2005","44","6"
"San Carlos","05649","POINT (-74.992086 6.188726)","ORIENTE","7","2005","124","7.8"
"San Francisco","05652","POINT (-75.102069 5.964854)","ORIENTE","7","2005","45","7"
"San Jerónimo","05656","POINT (-75.72792 6.442677)","OCCIDENTE","6","2005","53","4.6"
"San José de La Montaña","05658","POINT (-75.683472 6.848958)","NORTE","5","2005","13","4.2"
"San Juan de Urabá","05659","POINT (-76.524538 8.766496)","URABA","9","2005","50","2.4"
"San Luis","05660","POINT (-74.994436 6.042772)","ORIENTE","7","2005","110","10"
"San Pedro de Los Milagros","05664","POINT (-75.555959 6.461815)","NORTE","5","2005","96","4.4"
"San Pedro de Urabá","05665","POINT (-76.382921 8.277916)","URABA","9","2005","66","2.3"
"San Rafael","05667","POINT (-75.028257 6.295426)","ORIENTE","7","2005","77","5.7"
"San Roque","05670","POINT (-75.019485 6.485044)","NORDESTE","4","2005","97","5.3"
"San Vicente","05674","POINT (-75.331782 6.282678)","ORIENTE","7","2005","101","5.2"
"Santa Bárbara","05679","POINT (-75.568167 5.874215)","SUROESTE","8","2005","135","5.7"
"Santa Fe de Antioquia","05042","POINT (-75.827742 6.556455)","OCCIDENTE","6","2005","128","5.6"
"Santa Rosa de Osos","05686","POINT (-75.460696 6.648965)","NORTE","5","2005","131","4.2"
"Santo Domingo","05690","POINT (-75.164398 6.471292)","NORDESTE","4","2005","74","6.4"
"Segovia","05736","POINT (-75.164407 6.471289)","NORDESTE","4","2005","191","5.4"
"Sonsón","05756","POINT (-75.31098 5.709254)","ORIENTE","7","2005","265","6.8"
"Sopetrán","05761","POINT (-75.742487 6.500955)","OCCIDENTE","6","2005","67","5"
"Támesis","05789","POINT (-75.712508 5.662788)","SUROESTE","8","2005","99","6"
"Tarazá","05790","POINT (-75.39983 7.58049)","BAJO CAUCA","2","2005","203","6.2"
"Tarso","05792","POINT (-75.82213 5.865469)","SUROESTE","8","2005","31","4.3"
"Titiribí","05809","POINT (-75.793717 6.063419)","SUROESTE","8","2005","73","5.5"
"Toledo","05819","POINT (-75.691555 7.01096)","NORTE","5","2005","22","3.9"
"Turbo","05837","POINT (-76.728476 8.095151)","URABA","9","2005","461","3.8"
"Uramita","05842","POINT (-76.266639 7.001396)","OCCIDENTE","6","2005","50","6"
"Urrao","05847","POINT (-76.134557 6.317018)","SUROESTE","8","2005","171","4.4"
"Valdivia","05854","POINT (-75.391627 7.292119)","NORTE","5","2005","146","8.4"
"Valparaíso","05856","POINT (-75.62448 5.616356)","SUROESTE","8","2005","48","7.6"
"Vegachí","05858","POINT (-74.798745 6.77151)","NORDESTE","4","2005","55","4.9"
"Venecia","05861","POINT (-75.733897 5.963555)","SUROESTE","8","2005","79","5.9"
"Vigía del Fuerte","05873","POINT (-76.896085 6.589081)","URABA","9","2005","15","2.7"
"Yalí","05885","POINT (-74.842107 6.675328)","NORDESTE","4","2005","36","4.7"
"Yarumal","05887","POINT (-75.416733 6.963321)","NORTE","5","2005","222","5.4"
"Yolombó","05890","POINT (-75.01183 6.59926)","NORDESTE","4","2005","96","4.8"
"Yondó","05893","POINT (-73.909599 7.007398)","MAGDALENA MEDIO","3","2005","61","4"
"Zaragoza","05895","POINT (-74.868261 7.492548)","BAJO CAUCA","2","2005","105","3.9"
"Abejorral","05002","POINT (-75.427045 5.79145)","ORIENTE","7","2006","131","5.8"
"Abriaquí","05004","POINT (-76.064563 6.63197)","OCCIDENTE","6","2006","8","3"
"Alejandría","05021","POINT (-75.141258 6.376923)","ORIENTE","7","2006","25","5.3"
"Amagá","05030","POINT (-75.703216 6.04063)","SUROESTE","8","2006","160","5.9"
"Amalfi","05031","POINT (-75.075028 6.907385)","NORDESTE","4","2006","108","4.7"
"Andes","05034","POINT (-75.877699 5.655629)","SUROESTE","8","2006","225","5.4"
"Angelópolis","05036","POINT (-75.710262 6.111531)","SUROESTE","8","2006","33","5.6"
"Angostura","05038","POINT (-75.334973 6.885789)","NORTE","5","2006","74","6.1"
"Anorí","05040","POINT (-75.145827 7.073577)","NORDESTE","4","2006","90","5.6"
"Anzá","05044","POINT (-75.854027 6.303405)","OCCIDENTE","6","2006","36","5.3"
"Apartadó","05045","POINT (-76.630692 7.887047)","URABA","9","2006","370","3.9"
"Arboletes","05051","POINT (-76.427353 8.852936)","URABA","9","2006","84","2.9"
"Argelia","05055","POINT (-75.142821 5.731236)","ORIENTE","7","2006","31","3.3"
"Armenia","05059","POINT (-75.787666 6.156497)","OCCIDENTE","6","2006","35","5.9"
"Barbosa","05079","POINT (-75.331286 6.437248)","VALLE DE ABURRA","1","2006","214","4.8"
"Bello","05088","POINT (-75.558281 6.334985)","VALLE DE ABURRA","1","2006","1631","4"
"Belmira","05086","POINT (-75.667252 6.606713)","NORTE","5","2006","32","5.4"
"Betania","05091","POINT (-75.976261 5.745292)","SUROESTE","8","2006","41","3.6"
"Betulia","05093","POINT (-75.984594 6.113454)","SUROESTE","8","2006","74","4.7"
"Briceño","05107","POINT (-75.551532 7.110465)","NORTE","5","2006","69","8.2"
"Buriticá","05113","POINT (-75.907102 6.719872)","OCCIDENTE","6","2006","42","4.9"
"Cáceres","05120","POINT (-75.347874 7.582281)","BAJO CAUCA","2","2006","137","5.4"
"Caicedo","05125","POINT (-75.982545 6.406072)","OCCIDENTE","6","2006","34","4.4"
"Caldas","05129","POINT (-75.635534 6.09199)","VALLE DE ABURRA","1","2006","364","5.5"
"Campamento","05134","POINT (-75.29634 6.979113)","NORTE","5","2006","54","5.6"
"Cañasgordas","05138","POINT (-76.025603 6.749957)","OCCIDENTE","6","2006","80","4.7"
"Caracolí","05142","POINT (-74.756712 6.410876)","MAGDALENA MEDIO","3","2006","37","7.1"
"Caramanta","05145","POINT (-75.644483 5.548681)","SUROESTE","8","2006","30","5.1"
"Carepa","05147","POINT (-76.655568 7.755937)","URABA","9","2006","124","3.5"
"Carolina","05150","POINT (-75.281494 6.723626)","NORTE","5","2006","37","9.5"
"Caucasia","05154","POINT (-75.197397 7.989436)","BAJO CAUCA","2","2006","338","4.7"
"Chigorodó","05172","POINT (-76.685044 7.672652)","URABA","9","2006","215","4.8"
"Cisneros","05190","POINT (-75.087684 6.538526)","NORDESTE","4","2006","77","8.1"
"Ciudad Bolívar","05101","POINT (-76.020994 5.850015)","SUROESTE","8","2006","161","5.9"
"Cocorná","05197","POINT (-75.185273 6.057769)","ORIENTE","7","2006","85","4.5"
"Concepción","05206","POINT (-75.259425 6.394975)","ORIENTE","7","2006","25","4.7"
